methods,path,spring_path,params,headers,consumes,produces,controller,handler,source_language,response_body,response_kind,response_status,response_content_types,request_params,path_variables,model_attributes,controller_model_attributes,controller_exception_handlers,form_fields,model_keys,view_names,source,line,annotation,class_annotation
ANY,/,/,,,,,MainPageController,mainPage,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/index.jsp page directive"",""confidence"":""high""}]",[],[],[],[],[],,,index,src/main/scala/ru/org/linux/spring/MainPageController.scala,40,"@RequestMapping(path = Array(""/"", ""/index.jsp""))",
ANY,/ExceptionResolver,/ExceptionResolver,,,,,ExceptionController,defaultExceptionHandler,scala,False,redirect-or-view,,[],[],[],[],[],[],,,,src/main/scala/ru/org/linux/exception/ExceptionController.scala,27,"@RequestMapping(Array(""/ExceptionResolver""))",
ANY,/about,/about,,,,,ServerInfoController,serverInfo,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/server.jsp page directive"",""confidence"":""high""}]",[],[],[],[],[],,,server,src/main/scala/ru/org/linux/spring/ServerInfoController.scala,26,"@RequestMapping(Array(""/about""))",
GET,/activate,/activate,,,,,RegisterController,activateForm,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/activate.jsp page directive"",""confidence"":""high""}]","[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":false,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""activation"",""parameter"":""activation"",""type"":""String"",""required"":false,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],[],,,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,117,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.GET))",
POST,/activate,/activate,action,,,,RegisterController,activateNew,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/activate.jsp page directive"",""confidence"":""high""}]","[{""name"":""activation"",""parameter"":""activation"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""passwd"",""parameter"":""passwd"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],[],,,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,123,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""action""))",
POST,/activate,/activate,!action,,,,RegisterController,activate,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/activate.jsp page directive"",""confidence"":""high""}]","[{""name"":""activation"",""parameter"":""activation"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],[],,,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,172,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""!action""))",
GET,/activate.jsp,/activate.jsp,,,,,RegisterController,activateForm,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/activate.jsp page directive"",""confidence"":""high""}]","[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":false,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""activation"",""parameter"":""activation"",""type"":""String"",""required"":false,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],[],,,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,117,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.GET))",
POST,/activate.jsp,/activate.jsp,action,,,,RegisterController,activateNew,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/activate.jsp page directive"",""confidence"":""high""}]","[{""name"":""activation"",""parameter"":""activation"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""passwd"",""parameter"":""passwd"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],[],,,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,123,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""action""))",
POST,/activate.jsp,/activate.jsp,!action,,,,RegisterController,activate,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/activate.jsp page directive"",""confidence"":""high""}]","[{""name"":""activation"",""parameter"":""activation"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],[],,,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,172,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""!action""))",
ANY,/add-section.jsp,/add-section.jsp,section,,,,AddTopicController,showFormWithSection,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/add-section.jsp page directive"",""confidence"":""high""}]","[{""name"":""section"",""parameter"":""sectionId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""tag"",""parameter"":""tag"",""type"":""String"",""required"":false,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],"[{""handler"":""handleNotFoundException"",""exceptions"":[""SectionNotFoundException""],""response_status"":""NOT_FOUND"",""return_type"":""ModelAndView"",""source"":""controller-exception-handler"",""confidence"":""high""}]",,,add-section,src/main/scala/ru/org/linux/topic/AddTopicController.scala,318,"@RequestMapping(path = Array(""/add-section.jsp""), params = Array(""section""))",
