table,column,type,nullable,default
b_ips,ip,inet,False,
b_ips,mod_id,integer,False,
b_ips,date,timestamp with time zone,False,
b_ips,reason,character varying(255),True,
b_ips,ban_date,timestamp without time zone,True,
ban_info,userid,integer,False,
ban_info,bandate,timestamp without time zone,False,now()
ban_info,reason,text,False,
ban_info,ban_by,integer,False,
comments,id,integer,False,
comments,topic,integer,False,
comments,userid,integer,False,
comments,title,character varying(255),False,
comments,postdate,timestamp with time zone,False,
comments,replyto,integer,True,
comments,deleted,boolean,False,false
comments,postip,inet,True,
comments,ua_id,integer,True,
comments,topic_deleted,boolean,False,false
del_info,msgid,integer,False,
del_info,delby,integer,False,
del_info,reason,text,True,
del_info,deldate,timestamp without time zone,True,
edit_info,id,integer,False,
edit_info,msgid,integer,False,
edit_info,editor,integer,False,
edit_info,oldmessage,text,True,
edit_info,editdate,timestamp without time zone,False,now()
edit_info,oldtitle,text,True,
edit_info,oldtags,text,True,
edit_info,oldlinktext,text,True,
edit_info,oldurl,text,True,
groups,id,integer,False,
groups,title,character varying(255),False,
groups,image,character varying(255),True,
groups,section,integer,False,
groups,stat1,integer,False,0
groups,stat2,integer,False,0
groups,stat3,integer,False,0
groups,stat4,integer,False,0
groups,restrict_topics,integer,True,
groups,info,text,True,
groups,restrict_comments,integer,False,(-9999)
groups,longinfo,text,True,
groups,resolvable,boolean,False,false
groups,urlname,text,False,
ignore_list,userid,integer,False,
ignore_list,ignored,integer,False,
users,id,integer,False,
users,name,character varying(255),True,
users,nick,character varying(80),False,
users,passwd,character varying(40),True,
users,url,character varying(255),True,
users,email,character varying(255),True,
users,canmod,boolean,False,false
users,photo,character varying(100),True,
users,town,character varying(100),True,
users,candel,boolean,False,false
users,lostpwd,timestamp with time zone,False,'1970-01-01 03:00:00+03'::timestamp with time zone
users,blocked,boolean,True,
users,score,integer,True,
users,max_score,integer,True,
users,lastlogin,timestamp without time zone,True,
users,regdate,timestamp without time zone,True,
users,activated,boolean,False,false
users,corrector,boolean,False,false
users,userinfo,text,True,
users,unread_events,integer,False,0
users,new_email,character varying(255),True,
users,style,character varying(15),False,'tango'::character varying
jam_category,child_topic_id,integer,False,
jam_category,category_name,character varying(200),False,
jam_category,sort_key,character varying(200),True,
jam_configuration,config_key,character varying(50),False,
jam_configuration,config_value,character varying(500),False,
jam_file,file_id,integer,False,
jam_file,virtual_wiki_id,integer,False,
jam_file,file_name,character varying(200),False,
jam_file,delete_date,timestamp without time zone,True,
jam_file,file_read_only,integer,False,0
jam_file,file_admin_only,integer,False,0
jam_file,file_url,character varying(200),False,
jam_file,mime_type,character varying(100),False,
jam_file,topic_id,integer,False,
jam_file,file_size,integer,False,
jam_file_version,file_version_id,integer,False,
jam_file_version,file_id,integer,False,
jam_file_version,upload_comment,character varying(200),True,
jam_file_version,file_url,character varying(200),False,
jam_file_version,wiki_user_id,integer,True,
jam_file_version,upload_date,timestamp without time zone,False,now()
jam_file_version,mime_type,character varying(100),False,
jam_file_version,file_size,integer,False,
jam_file_version,wiki_user_display,character varying(100),True,
jam_group_members,id,integer,False,
jam_group_members,username,character varying(100),False,
jam_group_members,group_id,integer,False,
jam_group,group_id,integer,False,
jam_group,group_name,character varying(30),False,
jam_group,group_description,character varying(200),True,
jam_group_authorities,group_id,integer,False,
jam_group_authorities,authority,character varying(30),False,
jam_interwiki,interwiki_prefix,character varying(30),False,
jam_interwiki,interwiki_pattern,character varying(200),False,
jam_interwiki,interwiki_type,integer,False,
jam_log,log_date,timestamp without time zone,False,now()
jam_log,virtual_wiki_id,integer,False,
jam_log,wiki_user_id,integer,True,
jam_log,display_name,character varying(200),False,
jam_log,topic_id,integer,True,
jam_log,topic_version_id,integer,True,
jam_log,log_type,integer,False,
jam_log,log_comment,character varying(200),True,
jam_log,log_params,character varying(500),True,
jam_log,log_sub_type,integer,True,
jam_namespace,namespace_id,integer,False,
jam_namespace,namespace,character varying(200),False,
jam_namespace,main_namespace_id,integer,True,
jam_namespace_translation,namespace_id,integer,False,
jam_namespace_translation,virtual_wiki_id,integer,False,
jam_namespace_translation,namespace,character varying(200),False,
jam_recent_change,topic_version_id,integer,True,
jam_recent_change,previous_topic_version_id,integer,True,
jam_recent_change,topic_id,integer,True,
jam_recent_change,topic_name,character varying(200),True,
jam_recent_change,change_date,timestamp without time zone,False,now()
jam_recent_change,change_comment,character varying(200),True,
jam_recent_change,wiki_user_id,integer,True,
jam_recent_change,display_name,character varying(200),False,
jam_recent_change,edit_type,integer,True,
jam_recent_change,virtual_wiki_id,integer,True,
jam_recent_change,virtual_wiki_name,character varying(100),True,
jam_recent_change,characters_changed,integer,True,
jam_recent_change,log_type,integer,True,
jam_recent_change,log_params,character varying(500),True,
jam_recent_change,log_sub_type,integer,True,
jam_role,role_name,character varying(30),False,
jam_role,role_description,character varying(200),True,
jam_topic,topic_id,integer,False,
jam_topic,virtual_wiki_id,integer,False,
jam_topic,topic_name,character varying(200),False,
jam_topic,delete_date,timestamp without time zone,True,
jam_topic,topic_read_only,integer,False,0
jam_topic,topic_admin_only,integer,False,0
jam_topic,current_version_id,integer,True,
jam_topic,topic_type,integer,False,
jam_topic,redirect_to,character varying(200),True,
jam_topic,namespace_id,integer,False,0
jam_topic,page_name,character varying(200),True,
jam_topic,page_name_lower,character varying(200),True,
jam_topic_links,topic_id,integer,False,
jam_topic_links,link_topic_namespace_id,integer,False,0
jam_topic_links,link_topic_page_name,character varying(200),False,
jam_topic_version,topic_version_id,integer,False,
jam_topic_version,topic_id,integer,False,
jam_topic_version,edit_comment,character varying(200),True,
jam_topic_version,version_content,text,True,
jam_topic_version,wiki_user_id,integer,True,
jam_topic_version,edit_date,timestamp without time zone,False,now()
jam_topic_version,edit_type,integer,False,
jam_topic_version,previous_topic_version_id,integer,True,
jam_topic_version,characters_changed,integer,True,
jam_topic_version,version_params,character varying(500),True,
jam_topic_version,wiki_user_display,character varying(100),True,
jam_user_block,user_block_id,integer,False,
jam_user_block,wiki_user_id,integer,True,
jam_user_block,ip_address,character varying(39),True,
jam_user_block,block_date,timestamp without time zone,False,now()
jam_user_block,block_end_date,timestamp without time zone,True,
jam_user_block,block_reason,character varying(200),True,
jam_user_block,blocked_by_user_id,integer,False,
jam_user_block,unblock_date,timestamp without time zone,True,
jam_user_block,unblock_reason,character varying(200),True,
jam_user_block,unblocked_by_user_id,integer,True,
jam_virtual_wiki,virtual_wiki_id,integer,False,
jam_virtual_wiki,virtual_wiki_name,character varying(100),False,
jam_virtual_wiki,default_topic_name,character varying(200),True,
jam_virtual_wiki,create_date,timestamp without time zone,False,now()
jam_virtual_wiki,logo_image_url,character varying(200),True,
jam_virtual_wiki,site_name,character varying(200),True,
jam_virtual_wiki,meta_description,character varying(500),True,
jam_watchlist,wiki_user_id,integer,False,
jam_watchlist,topic_name,character varying(200),False,
jam_watchlist,virtual_wiki_id,integer,False,
memories,id,integer,False,
memories,userid,integer,False,
memories,topic,integer,False,
memories,add_date,timestamp without time zone,False,now()
monthly_stats,section,integer,True,
monthly_stats,year,integer,False,
monthly_stats,month,integer,False,
monthly_stats,c,integer,False,
monthly_stats,groupid,integer,True,
msgbase,id,bigint,False,
msgbase,message,text,False,
msgbase,bbcode,boolean,True,
sections,id,integer,False,
sections,name,character varying(255),False,
sections,moderate,boolean,False,
sections,imagepost,boolean,False,
sections,preformat,boolean,False,
sections,linktext,character varying(255),True,
sections,havelink,boolean,False,
sections,expire,interval,False,
sections,vote,boolean,True,false
sections,add_info,text,True,
tags,msgid,integer,True,
tags,tagid,integer,True,
tags_values,id,integer,False,
tags_values,counter,integer,True,0
tags_values,value,character varying(255),False,
topics,id,integer,False,
topics,groupid,integer,False,
topics,userid,integer,False,
topics,title,character varying(255),False,
topics,url,character varying(255),True,
topics,moderate,boolean,False,false
topics,postdate,timestamp with time zone,False,
topics,linktext,character varying(255),True,
topics,deleted,boolean,False,false
topics,stat1,integer,False,0
topics,stat2,integer,False,0
topics,stat3,integer,False,0
topics,stat4,integer,False,0
topics,lastmod,timestamp with time zone,True,
topics,commitby,integer,True,
topics,notop,boolean,True,
topics,commitdate,timestamp without time zone,True,
topics,postscore,integer,True,
topics,postip,inet,True,
topics,sticky,boolean,False,false
topics,ua_id,integer,True,
topics,resolved,boolean,True,
topics,minor,boolean,False,false
user_agents,id,integer,False,
user_agents,name,character varying(512),True,''::character varying
user_events,userid,integer,False,
user_events,type,event_type,False,
user_events,private,boolean,False,
user_events,event_date,timestamp without time zone,False,now()
user_events,message_id,integer,True,
user_events,comment_id,integer,True,
user_events,message,text,True,
user_events,unread,boolean,False,true
user_events,id,integer,False,
vote_users,vote,integer,False,
vote_users,userid,integer,False,
votenames,id,integer,False,
votenames,topic,integer,False,0
votenames,multiselect,boolean,False,false
votes,id,integer,False,
votes,vote,integer,False,
votes,label,text,False,
votes,votes,integer,False,0
