methods,path,params,produces,controller,handler,source,line,annotation
ANY,/,,,MainPageController,mainPage,src/main/scala/ru/org/linux/spring/MainPageController.scala,40,"@RequestMapping(path = Array(""/"", ""/index.jsp""))"
ANY,/ExceptionResolver,,,ExceptionController,defaultExceptionHandler,src/main/scala/ru/org/linux/exception/ExceptionController.scala,27,"@RequestMapping(Array(""/ExceptionResolver""))"
ANY,/about,,,ServerInfoController,serverInfo,src/main/scala/ru/org/linux/spring/ServerInfoController.scala,26,"@RequestMapping(Array(""/about""))"
GET,/activate,,,RegisterController,activateForm,src/main/scala/ru/org/linux/user/RegisterController.scala,117,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.GET))"
POST,/activate,action,,RegisterController,activateNew,src/main/scala/ru/org/linux/user/RegisterController.scala,123,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""action""))"
POST,/activate,!action,,RegisterController,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,172,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""!action""))"
GET,/activate.jsp,,,RegisterController,activateForm,src/main/scala/ru/org/linux/user/RegisterController.scala,117,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.GET))"
POST,/activate.jsp,action,,RegisterController,activateNew,src/main/scala/ru/org/linux/user/RegisterController.scala,123,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""action""))"
POST,/activate.jsp,!action,,RegisterController,activate,src/main/scala/ru/org/linux/user/RegisterController.scala,172,"@RequestMapping(value = Array(""/activate"", ""/activate.jsp""), method = Array(RequestMethod.POST), params = Array(""!action""))"
ANY,/add-section.jsp,section,,AddTopicController,showFormWithSection,src/main/scala/ru/org/linux/topic/AddTopicController.scala,308,"@RequestMapping(path = Array(""/add-section.jsp""), params = Array(""section""))"
ANY,/add-section.jsp,!section,,AddTopicController,showFormAllSections,src/main/scala/ru/org/linux/topic/AddTopicController.scala,373,"@RequestMapping(path = Array(""/add-section.jsp""), params = Array(""!section""))"
GET,/add.jsp,,,AddTopicController,add,src/main/scala/ru/org/linux/topic/AddTopicController.scala,132,"@RequestMapping(value = Array(""/add.jsp""), method = Array(RequestMethod.GET))"
POST,/add.jsp,,,AddTopicController,doAdd,src/main/scala/ru/org/linux/topic/AddTopicController.scala,172,"@RequestMapping(value = Array(""/add.jsp""), method = Array(RequestMethod.POST))"
GET,/add_comment.jsp,,,AddCommentController,showFormReply,src/main/scala/ru/org/linux/comment/AddCommentController.scala,54,"@RequestMapping(value = Array(""/add_comment.jsp""), method = Array(RequestMethod.GET))"
POST,/add_comment.jsp,,,AddCommentController,addComment,src/main/scala/ru/org/linux/comment/AddCommentController.scala,89,"@RequestMapping(value = Array(""/add_comment.jsp""), method = Array(RequestMethod.POST))"
POST,/add_comment_ajax,,application/json; charset=UTF-8,AddCommentController,addCommentAjax,src/main/scala/ru/org/linux/comment/AddCommentController.scala,136,"@RequestMapping(value = Array(""/add_comment_ajax""), produces = Array(""application/json; charset=UTF-8""), method = Array(RequestMethod.POST))"
GET,/addphoto.jsp,,,UserpicController,showForm,src/main/scala/ru/org/linux/user/UserpicController.scala,45,"@RequestMapping(value = Array(""/addphoto.jsp""), method = Array(RequestMethod.GET))"
POST,/addphoto.jsp,,,UserpicController,addPhoto,src/main/scala/ru/org/linux/user/UserpicController.scala,52,"@RequestMapping(value = Array(""/addphoto.jsp""), method = Array(RequestMethod.POST))"
GET,/admin/geoip,,,GeoLocationController,geoip,src/main/scala/ru/org/linux/auth/GeoLocationController.scala,24,"@RequestMapping(value = Array(""/admin/geoip""), method = Array(RequestMethod.GET))"
POST,/admin/search-reindex,action=all,,SearchControlController,reindexAll,src/main/scala/ru/org/linux/search/SearchControlController.scala,28,"@RequestMapping(value = Array(""/admin/search-reindex""), method = Array(RequestMethod.POST), params = Array(""action=all""))"
POST,/admin/search-reindex,action=current,,SearchControlController,reindexCurrentMonth,src/main/scala/ru/org/linux/search/SearchControlController.scala,51,"@RequestMapping(value = Array(""/admin/search-reindex""), method = Array(RequestMethod.POST), params = Array(""action=current""))"
GET,/admin/search-reindex,,,SearchControlController,reindex,src/main/scala/ru/org/linux/search/SearchControlController.scala,64,"@RequestMapping(value = Array(""/admin/search-reindex""), method = Array(RequestMethod.GET))"
ANY,/articles.boxlet,,,ArticlesBoxlet,getData,src/main/scala/ru/org/linux/boxlets/ArticlesBoxlet.scala,29,"@RequestMapping(path = Array(""/articles.boxlet""))"
ANY,/articles/archive,,,ArchiveController,articlesArchive,src/main/scala/ru/org/linux/topic/ArchiveController.scala,85,"@RequestMapping(path = Array(""/articles/archive""))"
