surface,kind,path_or_pattern,source,details_json
websocket,websocket,/ws,src/main/scala/ru/org/linux/realtime/RealtimeEventHub.scala,"{""allowed_origins_expression"":""config.getSecureUrl"",""authentication_principal"":""RememberMeAuthenticationToken/UserDetailsImpl"",""closes_with_server_error_on_handler_exception"":true,""handshake_method"":""GET (Upgrade: websocket)"",""inbound_payload_contract"":""text: <topicId> or <topicId> <lastSeenCommentId>"",""kind"":""websocket"",""line"":307,""outbound_message_literals"":[""comment $comment"",""events-refresh""],""path"":""/ws"",""source"":""src/main/scala/ru/org/linux/realtime/RealtimeEventHub.scala""}"
url_rewrite,rule,^/index.jsp$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/index.jsp$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^(/view-message.jsp[^#]*)#.*$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^(/view-message.jsp[^#]*)#.*$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""$1"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^/topic-rss.jsp\?topic=(.*)$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/topic-rss.jsp\\?topic=(.*)$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/view-message.jsp?msgid=$1&output=rss"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^/info.html$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/info.html$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/books"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^/info-mirror.html$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/info-mirror.html$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/books"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^/rss.jsp$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/rss.jsp$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/section-rss.jsp"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^/server.jsp$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/server.jsp$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/about"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^/rss.xml$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/rss.xml$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/section-rss.jsp"",""to_attributes"":{""type"":""redirect""}}"
url_rewrite,rule,^/rules.jsp$,src/main/webapp/WEB-INF/urlrewrite.xml,"{""actions"":[],""conditions"":[],""from"":""^/rules.jsp$"",""kind"":""rule"",""source"":""src/main/webapp/WEB-INF/urlrewrite.xml"",""to"":""/help/rules.md"",""to_attributes"":{""type"":""redirect""}}"
