status,methods,path,params,headers,consumes,produces,controller,handler,rust_match,source,semantic_parity
method-declared,ANY,/,,,,,MainPageController,mainPage,ANY /,src/main/scala/ru/org/linux/spring/MainPageController.scala:40,not-evaluated
method-declared,ANY,/ExceptionResolver,,,,,ExceptionController,defaultExceptionHandler,ANY /ExceptionResolver,src/main/scala/ru/org/linux/exception/ExceptionController.scala:27,not-evaluated
method-declared,ANY,/about,,,,,ServerInfoController,serverInfo,ANY /about,src/main/scala/ru/org/linux/spring/ServerInfoController.scala:26,not-evaluated
method-declared,GET,/activate,,,,,RegisterController,activateForm,"GET,POST /activate",src/main/scala/ru/org/linux/user/RegisterController.scala:117,not-evaluated
method-declared,POST,/activate,action,,,,RegisterController,activateNew,"GET,POST /activate",src/main/scala/ru/org/linux/user/RegisterController.scala:123,not-evaluated
method-declared,POST,/activate,!action,,,,RegisterController,activate,"GET,POST /activate",src/main/scala/ru/org/linux/user/RegisterController.scala:172,not-evaluated
method-declared,GET,/activate.jsp,,,,,RegisterController,activateForm,"GET,POST /activate.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:117,not-evaluated
method-declared,POST,/activate.jsp,action,,,,RegisterController,activateNew,"GET,POST /activate.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:123,not-evaluated
method-declared,POST,/activate.jsp,!action,,,,RegisterController,activate,"GET,POST /activate.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:172,not-evaluated
method-declared,ANY,/add-section.jsp,section,,,,AddTopicController,showFormWithSection,ANY /add-section.jsp,src/main/scala/ru/org/linux/topic/AddTopicController.scala:318,not-evaluated
method-declared,ANY,/add-section.jsp,!section,,,,AddTopicController,showFormAllSections,ANY /add-section.jsp,src/main/scala/ru/org/linux/topic/AddTopicController.scala:383,not-evaluated
method-declared,GET,/add.jsp,,,,,AddTopicController,add,"GET,POST /add.jsp",src/main/scala/ru/org/linux/topic/AddTopicController.scala:134,not-evaluated
method-declared,POST,/add.jsp,,,,,AddTopicController,doAdd,"GET,POST /add.jsp",src/main/scala/ru/org/linux/topic/AddTopicController.scala:183,not-evaluated
method-declared,GET,/add_comment.jsp,,,,,AddCommentController,showFormReply,"GET,POST /add_comment.jsp",src/main/scala/ru/org/linux/comment/AddCommentController.scala:54,not-evaluated
method-declared,POST,/add_comment.jsp,,,,,AddCommentController,addComment,"GET,POST /add_comment.jsp",src/main/scala/ru/org/linux/comment/AddCommentController.scala:89,not-evaluated
method-declared,POST,/add_comment_ajax,,,,application/json; charset=UTF-8,AddCommentController,addCommentAjax,POST /add_comment_ajax,src/main/scala/ru/org/linux/comment/AddCommentController.scala:136,not-evaluated
method-declared,GET,/addphoto.jsp,,,,,UserpicController,showForm,"GET,POST /addphoto.jsp",src/main/scala/ru/org/linux/user/UserpicController.scala:45,not-evaluated
method-declared,POST,/addphoto.jsp,,,,,UserpicController,addPhoto,"GET,POST /addphoto.jsp",src/main/scala/ru/org/linux/user/UserpicController.scala:52,not-evaluated
