methods,path,handler,source,line
GET,/admin/geoip,get(geoip),src/routes/admin.rs,48
GET,/admin/email-domains,get(email_domains),src/routes/admin.rs,49
POST,/admin/email-domains/add,post(email_domains_add),src/routes/admin.rs,50
POST,/admin/email-domains/delete,post(email_domains_delete),src/routes/admin.rs,51
"GET,POST",/admin/search-reindex,"get(search_reindex_form).post(search_reindex),",src/routes/admin.rs,52
POST,/banip.jsp,post(ban_ip),src/routes/admin.rs,56
POST,/delip.jsp,post(del_ip),src/routes/admin.rs,57
GET,/sameip.jsp,get(same_ip),src/routes/admin.rs,58
"GET,POST",/groupmod.jsp,get(groupmod_form).post(groupmod_save),src/routes/admin.rs,59
"GET,POST",/usermod.jsp,get(usermod_get).post(usermod),src/routes/admin.rs,62
"GET,POST",/post-warning,get(post_warning_form).post(post_warning),src/routes/admin.rs,63
POST,/clear-warning,post(clear_warning),src/routes/admin.rs,64
GET,/,get(topics::index),src/routes/mod.rs,33
GET,/index.jsp,get(topics::index),src/routes/mod.rs,34
GET,/about,get(about),src/routes/mod.rs,35
GET,/ws,get(realtime::websocket),src/routes/mod.rs,36
GET,/forum,get(groups::forum_index),src/routes/mod.rs,37
GET,/forum/,get(groups::forum_index),src/routes/mod.rs,38
GET,/forum/lenta,get(topics::lenta),src/routes/mod.rs,39
"GET,POST",/forum/{group},"get(groups::group_page).post(groups::group_page),",src/routes/mod.rs,40
GET,/forum/{group}/archive,get(groups::group_archive),src/routes/mod.rs,44
GET,/forum/{group}/{id},get(topics::topic_page),src/routes/mod.rs,45
GET,/forum/{group}/{id_or_year}/{page_or_month},"get(legacy::forum_page_or_archive),",src/routes/mod.rs,46
GET,/news/,get(topics::section_topics),src/routes/mod.rs,50
GET,/news/{group},get(topics::section_group_topics),src/routes/mod.rs,51
GET,/news/{group}/{id},get(topics::topic_page),src/routes/mod.rs,52
GET,/news/{group}/{id}/{page_marker},"get(topics::topic_page_with_page),",src/routes/mod.rs,53
GET,/articles/,get(topics::section_topics),src/routes/mod.rs,57
GET,/articles/{group},get(topics::section_group_topics),src/routes/mod.rs,58
GET,/articles/{group}/{id},get(topics::topic_page),src/routes/mod.rs,59
GET,/articles/{group}/{id}/{page_marker},"get(topics::topic_page_with_page),",src/routes/mod.rs,60
GET,/gallery/,get(topics::section_topics),src/routes/mod.rs,64
GET,/gallery/preview/{file},get(media::gallery_preview),src/routes/mod.rs,65
GET,/gallery-uploads/preview/{file},"get(media::gallery_preview),",src/routes/mod.rs,66
GET,/gallery/{group},get(topics::section_group_topics),src/routes/mod.rs,70
GET,/gallery/{group}/{id},get(topics::topic_page),src/routes/mod.rs,71
GET,/gallery/{group}/{id}/{page_marker},"get(topics::topic_page_with_page),",src/routes/mod.rs,72
GET,/polls/,get(topics::section_topics),src/routes/mod.rs,76
GET,/polls/{group},get(topics::section_group_topics),src/routes/mod.rs,77
GET,/polls/{group}/{id},get(topics::topic_page),src/routes/mod.rs,78
GET,/polls/{group}/{id}/{page_marker},"get(topics::topic_page_with_page),",src/routes/mod.rs,79
GET,/images/{id}/{file},get(media::finalized_image),src/routes/mod.rs,83
GET,/photos/{file},get(media::userpic),src/routes/mod.rs,84
GET,/show-topics.jsp,get(topics::legacy_show_topics),src/routes/mod.rs,85
GET,/view-all.jsp,get(topics::view_all),src/routes/mod.rs,86
GET,/view-message.jsp,get(topics::legacy_view_message),src/routes/mod.rs,87
GET,/jump-message.jsp,get(comments::jump_message),src/routes/mod.rs,88
"GET,POST",/add.jsp,"get(topics::new_topic_form) .post(topics::create_topic) .layer(DefaultBodyLimit::max(34 * 1024 * 1024)),",src/routes/mod.rs,89
GET,/add-section.jsp,get(topics::choose_topic_section),src/routes/mod.rs,95
"GET,POST",/edit.jsp,"get(topics::edit_topic_form) .post(topics::edit_topic) .layer(DefaultBodyLimit::max(34 * 1024 * 1024)),",src/routes/mod.rs,96
"GET,POST",/delete.jsp,"get(topics::delete_topic_form).post(topics::delete_topic),",src/routes/mod.rs,102
"GET,POST",/undelete,"get(topics::undelete_topic_form).post(topics::undelete_topic),",src/routes/mod.rs,106
"GET,POST",/resolve.jsp,"get(topics::resolve_topic_get).post(topics::resolve_topic),",src/routes/mod.rs,110
"GET,POST",/add_comment.jsp,"get(comments::add_comment_form).post(comments::add_comment),",src/routes/mod.rs,114
POST,/add_comment_ajax,post(comments::add_comment_ajax),src/routes/mod.rs,118
GET,/comment-message.jsp,get(comments::comment_message),src/routes/mod.rs,119
"GET,POST",/edit_comment,"get(comments::edit_comment_form).post(comments::edit_comment),",src/routes/mod.rs,120
"GET,POST",/delete_comment.jsp,"get(comments::delete_comment_form).post(comments::delete_comment),",src/routes/mod.rs,124
"GET,POST",/undelete_comment,"get(comments::undelete_comment_form).post(comments::undelete_comment),",src/routes/mod.rs,128
GET,/search.jsp,get(search::search),src/routes/mod.rs,132
GET,/tags,get(tags::all_tags),src/routes/mod.rs,133
GET,/tags.jsp,get(tags::all_tags),src/routes/mod.rs,134
GET,/tags/{first_letter},get(tags::tags_by_letter),src/routes/mod.rs,135
GET,/tag/{tag},get(tags::tag_page),src/routes/mod.rs,136
GET,/people/{nick}/profile,get(users::profile_full),src/routes/mod.rs,140
GET,/people/{nick}/profile/,get(users::profile_full),src/routes/mod.rs,141
GET,/people/{nick}/reactions,get(users::reactions),src/routes/mod.rs,142
GET,/people/{nick}/reactions/{mode},"get(users::reactions_mode),",src/routes/mod.rs,143
GET,/people/{nick}/remarks,get(users::remarks),src/routes/mod.rs,147
GET,/whois.jsp,get(users::legacy_whois),src/routes/mod.rs,148
GET,/login.jsp,get(auth::login_form),src/routes/mod.rs,149
POST,/login_process,post(auth::login),src/routes/mod.rs,150
"GET,POST",/logout,get(auth::logout_link).post(auth::logout),src/routes/mod.rs,154
"GET,POST",/register.jsp,"get(auth::register_form).post(auth::register),",src/routes/mod.rs,155
"GET,POST",/lostpwd.jsp,"get(auth::lost_password_form).post(auth::lost_password),",src/routes/mod.rs,159
"GET,POST",/notifications,"get(api::notifications).post(api::notifications_mark_read),",src/routes/mod.rs,163
GET,/notifications-count,get(api::notifications_count),src/routes/mod.rs,167
POST,/notifications-reset,post(api::notifications_reset),src/routes/mod.rs,168
GET,/tracker,get(api::tracker),src/routes/mod.rs,169
GET,/tracker/,get(api::tracker),src/routes/mod.rs,170
GET,/tracker.jsp,get(api::tracker_old_redirect),src/routes/mod.rs,171
GET,/section-rss.jsp,get(rss::section_rss),src/routes/mod.rs,172
GET,/top10.boxlet,get(api::top10_boxlet),src/routes/mod.rs,173
GET,/articles.boxlet,get(api::articles_boxlet),src/routes/mod.rs,174
GET,/poll.boxlet,get(api::poll_boxlet),src/routes/mod.rs,175
ANY,/gallery.boxlet,any(boxlets::gallery),src/routes/mod.rs,176
ANY,/tagcloud.boxlet,any(boxlets::tagCloud),src/routes/mod.rs,177
GET,/ExceptionResolver,get(legacy::exception_resolver),src/routes/mod.rs,180
"GET,POST",/activate,"get(legacy::activate_form).post(legacy::activate_post),",src/routes/mod.rs,181
"GET,POST",/activate.jsp,"get(legacy::activate_form).post(legacy::activate_post),",src/routes/mod.rs,185
"GET,POST",/addphoto.jsp,"get(legacy::addphoto_form).post(legacy::upload_userpic),",src/routes/mod.rs,189
GET,/articles/archive,get(legacy::archive_section),src/routes/mod.rs,193
"GET,POST",/commit.jsp,"get(topics::commit_topic_form).post(topics::commit_topic),",src/routes/mod.rs,194
"GET,POST",/delete_image,"get(legacy::delete_image_form).post(legacy::delete_image),",src/routes/mod.rs,198
"GET,POST",/deregister.jsp,"get(legacy::deregister_form).post(legacy::deregister_post),",src/routes/mod.rs,202
